Dimension: array length (n),Time (clock)
1744,118.770000
1745,118.940000
1746,118.630000
1747,119.240000
1748,119.440000
1749,119.300000
1750,119.570000
1751,119.600000
1752,119.380000
1753,119.580000
1754,119.570000
1755,119.440000
1756,119.930000
1757,119.730000
1758,119.790000
1759,119.960000
1760,119.740000
1761,120.060000
1762,120.350000
1763,120.460000
1764,120.440000
1765,120.890000
1766,120.440000
1767,120.400000
1768,120.530000
1769,123.800000
1770,122.970000
1771,122.510000
1772,121.560000
1773,121.000000
1774,121.090000
1775,121.070000
1776,121.320000
1777,121.350000
1778,121.620000
1779,121.520000
1780,121.770000
1781,121.620000
1782,121.750000
1783,122.030000
1784,121.900000
1785,122.270000
1786,122.170000
1787,120.260000
1788,119.390000
1789,119.730000
1790,119.460000
1791,121.380000
1792,119.910000
1793,119.970000
1794,121.990000
1795,122.840000
1796,122.760000
1797,122.570000
1798,124.490000
1799,122.760000
1800,123.020000
1801,123.090000
1802,123.010000
1803,123.290000
1804,123.270000
1805,121.670000
1806,120.590000
1807,120.850000
1808,121.900000
1809,120.830000
1810,120.980000
1811,121.120000
1812,121.960000
1813,124.640000
1814,123.940000
1815,124.130000
1816,124.040000
1817,124.180000
1818,124.260000
1819,124.130000
1820,124.550000
1821,124.360000
1822,124.570000
1823,124.720000
1824,124.500000
1825,122.130000
1826,122.010000
1827,121.850000
1828,122.330000
1829,122.270000
1830,121.920000
1831,123.080000
1832,125.010000
1833,125.160000
1834,125.180000
1835,125.160000
1836,125.150000
1837,125.200000
1838,125.520000
1839,125.300000
1840,125.410000
1841,125.140000
1842,123.170000
1843,122.590000
1844,123.160000
1845,123.270000
1846,124.830000
1847,124.400000
1848,126.550000
1849,126.140000
1850,126.110000
1851,126.330000
1852,126.210000
1853,126.420000
1854,126.520000
1855,126.170000
1856,126.520000
